state_id,state_abbr,county_state_name,county_id,county_name,latitude,longitude,consolidated_city-county,population,population_cohort,employment,employment_cohort,doe_climate_zone,cohort,consumption (MWh),expenditures in Millions,consumption (MWh/capita),expenditures in Millions,utility customers,GHG emissions mtons CO2e,consumption (TcF),expenditures in Millions,consumption (TcF/capita),expenditures in Millions,utility customers,occuped housing units,consumption (MWh),expenditures in Millions,consumption (MWh/capita),expenditures in Millions,consumption (MWh),expenditures in Millions,utility customers,consumption (TcF),expenditures in Millions,consumption (TcF/capita),expenditures in Millions,consumption (TcF),expenditures in Millions,utility customers,,,consumption (gallons),consumption (gallons/capita),consumption (gallons),consumption (gallons/capita),vehicle miles traveled (miles),vehicle miles traveled (miles/capita),consumption (MWh),expenditures in Millions,consumption (MWh/capita),consumption (TcF),expenditures in Millions,consumption (TcF/capita),expenditures in Millions,establishments,consumption (MWh),expenditures in Millions
1,AL,"Autauga County, AL",1001,Autauga County,32.532237,-86.64644,,55049,7,21580,5,3,30705,"3,15,398","39,864",6,1,"22,120","1,56,670","3,16,920","4,185",6,0,"9,750","20,800","1,28,186","14,821",2,0,"1,30,821","14,633","2,415","1,70,669","1,703",3,0,"1,52,812","1,627",468,,,"2,53,32,114",460,"1,15,06,887",209,"74,02,66,187","13,447","33,506","2,025",1,"32,63,590","12,369",59,0,,"2,511",152
1,AL,"Baldwin County, AL",1003,Baldwin County,30.659218,-87.746067,,199510,11,122682,9,2,21109,"10,64,843","1,26,826",5,1,"1,27,891","5,28,947","2,73,012","5,989",1,0,"21,862","75,149","11,22,222","1,17,677",6,1,"9,78,878","1,09,489","19,816","4,07,181","6,532",2,0,"18,43,506","19,633","2,375",,,"11,60,66,055",582,"4,29,75,312",215,"3,23,98,17,322","16,239","3,89,609","23,543",2,"16,63,962","6,306",8,0,,"15,731",951
1,AL,"Barbour County, AL",1005,Barbour County,31.870253,-85.405104,,26614,6,13613,4,3,30604,"1,36,098","17,085",5,1,"11,494","67,605","40,062",668,2,0,724,"9,122","87,199","10,128",3,0,"92,666","10,365","1,920","85,081","1,092",3,0,"1,23,970","1,320",369,,,"1,49,09,195",560,"40,16,334",151,"39,11,31,704","14,696","3,34,420","20,208",13,"15,26,156","5,784",57,0,,"4,625",279
1,AL,"Bibb County, AL",1007,Bibb County,33.015893,-87.127148,,22572,5,6699,2,3,30502,"1,17,401","14,858",5,1,"8,738","58,318","99,056","1,306",4,0,"1,441","7,048","44,056","5,106",2,0,"44,744","5,005","1,121","53,863",533,2,0,"47,445",505,217,,,"1,18,06,243",523,"37,76,567",167,"32,05,13,006","14,200","11,471",693,1,"3,742",14,0,0,,"1,572",95
1,AL,"Blount County, AL",1009,Blount County,33.977358,-86.56644,,57704,8,12557,4,3,30804,"3,28,466","41,577",6,1,"23,227","1,77,690","1,93,482","2,576",3,0,"4,634","20,619","1,23,154","14,273",2,0,"1,25,064","13,989","2,909","6,049",60,0,0,"5,287",56,336,,,"2,35,20,539",408,"99,96,834",173,"67,32,72,458","11,668","1,29,611","7,832",2,"1,36,813",519,2,0,,"6,148",371
1,AL,"Bullock County, AL",1011,Bullock County,32.101759,-85.717261,,10552,3,3422,1,3,30301,"53,059","6,709",5,1,"4,345","26,357","31,638",419,3,0,627,"3,556","18,976","2,199",2,0,"19,444","2,175",504,8,0,0,0,7,0,106,,,"61,86,642",586,"19,75,072",187,"16,78,36,840","15,906","56,343","3,405",5,"2,01,530",764,19,0,,"2,055",124
1,AL,"Butler County, AL",1013,Butler County,31.751667,-86.681969,,20280,5,12211,4,3,30504,"1,17,812","14,944",6,1,"9,655","58,522","32,256",570,2,0,"1,607","7,675","75,713","8,777",4,0,"76,907","8,602","1,459","62,576",841,3,0,"99,134","1,056",281,,,"2,25,68,262","1,113","1,30,11,949",642,"68,92,55,139","33,987","65,106","3,934",3,"40,235",152,2,0,,"2,690",163
1,AL,"Calhoun County, AL",1015,Calhoun County,33.771706,-85.822513,,115883,9,71664,8,3,30908,"6,48,757","82,123",6,1,"51,932","3,50,959","7,88,725","10,399",7,0,"19,397","45,071","5,39,145","62,504",5,1,"5,19,946","58,157","9,789","5,85,983","5,804",5,0,"5,15,685","5,492","1,768",,,"5,35,12,407",462,"1,65,43,137",143,"1,45,31,11,884","12,539","6,10,312","36,879",5,"19,20,892","7,280",17,0,,"4,792",290
1,AL,"Chambers County, AL",1017,Chambers County,32.915504,-85.394032,,34018,6,12279,4,3,30604,"2,07,888","26,283",6,1,"16,463","1,03,266","1,53,560","2,025",5,0,"3,334","13,851","1,25,283","14,515",4,0,"1,27,190","14,226","2,258","1,15,461","1,144",3,0,"1,01,760","1,084",412,,,"2,07,75,028",611,"71,01,580",209,"56,64,25,834","16,651","1,72,442","10,420",5,"13,12,672","4,975",39,0,,"1,258",76
1,AL,"Cherokee County, AL",1019,Cherokee County,34.069515,-85.654242,,25897,6,7709,3,3,30603,"1,62,897","20,819",6,1,"15,835","88,122","86,644","1,274",3,0,"2,080","10,999","75,847","9,914",3,0,"68,694","7,684","2,993","1,33,379","1,378",5,0,"79,196",843,421,,,"1,35,80,194",524,"42,18,086",163,"36,28,39,833","14,011","3,07,649","18,590",12,"4,86,007","1,842",19,0,,"7,183",434
